window_id,attack_name,attack_family,iso_date,day_dir,start_time,finish_time,attacker_ips,victim_ips,source_url,confidence
ids2018_2018-02-14_1032_01_ftp_bruteforce,FTP-BruteForce,BruteForce,2018-02-14,Wednesday-14-02-2018,10:32,12:09,"[""172.31.70.4"", ""18.221.219.4""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-14_1401_02_ssh_bruteforce,SSH-Bruteforce,BruteForce,2018-02-14,Wednesday-14-02-2018,14:01,15:31,"[""13.58.98.64"", ""172.31.70.6""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-15_926_03_dos_goldeneye,DoS-GoldenEye,DoS,2018-02-15,Thursday-15-02-2018,9:26,10:09,"[""172.31.70.46"", ""18.219.211.138""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-15_1059_04_dos_slowloris,DoS-Slowloris,DoS,2018-02-15,Thursday-15-02-2018,10:59,11:40,"[""172.31.70.8"", ""18.217.165.70""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-16_1012_05_dos_slowhttptest,DoS-SlowHTTPTest,DoS,2018-02-16,Friday-16-02-2018,10:12,11:08,"[""13.59.126.31"", ""172.31.70.23""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-16_1345_06_dos_hulk,DoS-Hulk,DoS,2018-02-16,Friday-16-02-2018,13:45,14:19,"[""172.31.70.16"", ""18.219.193.20""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-20_1012_07_ddos_attacks_loic_http,DDoS attacks-LOIC-HTTP,DDoS,2018-02-20,Tuesday-20-02-2018,10:12,11:17,"[""18.216.200.189"", ""18.216.24.42"", ""18.218.11.51"", ""18.218.115.60"", ""18.218.229.235"", ""18.218.55.126"", ""18.219.32.43"", ""18.219.5.43"", ""18.219.9.1"", ""52.14.136.135""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-20_1313_08_ddos_loic_udp,DDoS-LOIC-UDP,DDoS,2018-02-20,Tuesday-20-02-2018,13:13,13:32,"[""18.216.200.189"", ""18.216.24.42"", ""18.218.11.51"", ""18.218.115.60"", ""18.218.229.235"", ""18.218.55.126"", ""18.219.32.43"", ""18.219.5.43"", ""18.219.9.1"", ""52.14.136.135""]","[""172.31.69.25"", ""18.217.21.148""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-21_1009_09_ddos_loic_udp,DDOS-LOIC-UDP,DDoS,2018-02-21,Wednesday-21-02-2018,10:09,10:43,"[""18.216.200.189"", ""18.216.24.42"", ""18.218.11.51"", ""18.218.115.60"", ""18.218.229.235"", ""18.218.55.126"", ""18.219.32.43"", ""18.219.5.43"", ""18.219.9.1"", ""52.14.136.135""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
ids2018_2018-02-21_1405_10_ddos_hoic,DDOS-HOIC,DDoS,2018-02-21,Wednesday-21-02-2018,14:05,15:05,"[""18.216.200.189"", ""18.216.24.42"", ""18.218.11.51"", ""18.218.115.60"", ""18.218.229.235"", ""18.218.55.126"", ""18.219.32.43"", ""18.219.5.43"", ""18.219.9.1"", ""52.14.136.135""]","[""172.31.69.28"", ""18.218.83.150""]",https://www.unb.ca/cic/datasets/ids-2018.html,official_schedule
